12/4/14,4,11:14,24.65,17.53,Detroit; MI,T-Mobile,0,32.867,Mbits/s,Mbits/s
12/4/14,4,11:14,19.24,17.29,Cleveland; OH,AT&T,0,35.586,Mbits/s,Mbits/s
12/4/14,4,11:15,24.23,18.44,Detroit; MI,T-Mobile,0,28.823,Mbits/s,Mbits/s
12/4/14,4,11:16,22.47,12.73,Detroit; MI,T-Mobile,0,29.072,Mbits/s,Mbits/s
12/4/14,4,11:17,2.18,7.92,Detroit; MI,AT&T,0,35.712,Mbits/s,Mbits/s
12/4/14,4,11:17,21.37,12.32,Detroit; MI,T-Mobile,0,30.598,Mbits/s,Mbits/s
12/4/14,4,11:17,15.92,10.07,Detroit; MI,T-Mobile,0,31.222,Mbits/s,Mbits/s
12/4/14,4,11:18,10.58,12.18,Toledo; OH,Amplex,0,66.362,Mbits/s,Mbits/s
12/4/14,4,11:19,10.4,5.22,Cleveland; OH,AT&T,0,42.738,Mbits/s,Mbits/s
12/4/14,4,11:19,8.27,16.49,Cleveland; OH,AT&T,0,52.344,Mbits/s,Mbits/s
12/4/14,4,11:19,14.76,15.66,Detroit; MI,T-Mobile,0,30.132,Mbits/s,Mbits/s
12/4/14,4,11:20,16.69,11.56,Detroit; MI,T-Mobile,0,40.103,Mbits/s,Mbits/s
12/4/14,4,11:20,11.11,9.28,Cleveland; OH,AT&T,0,48.867,Mbits/s,Mbits/s
12/4/14,4,11:20,16.59,10.5,Detroit; MI,T-Mobile,0,29.24,Mbits/s,Mbits/s
12/4/14,4,11:21,11.57,11.89,Toledo; OH,Amplex,0,91.739,Mbits/s,Mbits/s
12/4/14,4,11:21,11.18,2.96,Detroit; MI,Comcast,0,38.136,Mbits/s,Mbits/s
12/4/14,4,11:21,18.52,11.51,Detroit; MI,T-Mobile,0,38.359,Mbits/s,Mbits/s
12/4/14,4,11:22,14.98,7.59,Detroit; MI,Comcast,0,37.788,Mbits/s,Mbits/s
12/4/14,4,11:24,10.31,0.19,Detroit; MI,T-Mobile,0,45.218,Mbits/s,Mbits/s
12/4/14,4,11:24,3.92,11.11,Detroit; MI,AT&T,0,39.162,Mbits/s,Mbits/s
12/4/14,4,11:24,10.08,7.64,Detroit; MI,T-Mobile,0,39.986,Mbits/s,Mbits/s
12/4/14,4,11:25,9.91,6.16,Detroit; MI,Comcast,0,69.341,Mbits/s,Mbits/s
12/4/14,4,11:25,10.86,6.52,Detroit; MI,T-Mobile,0,29.724,Mbits/s,Mbits/s
12/4/14,4,11:25,8.29,8.91,Cleveland; OH,AT&T,0,46.115,Mbits/s,Mbits/s
12/4/14,4,11:26,9.29,13.13,Detroit; MI,T-Mobile,0,33.745,Mbits/s,Mbits/s
12/4/14,4,11:26,14.52,11.12,Detroit; MI,T-Mobile,0,28.502,Mbits/s,Mbits/s
12/4/14,4,11:26,8.26,13.42,Detroit; MI,AT&T,0,53.037,Mbits/s,Mbits/s
12/4/14,4,11:27,17.54,14.43,Detroit; MI,T-Mobile,0,29.093,Mbits/s,Mbits/s
12/4/14,4,11:27,9.2,19.16,Detroit; MI,AT&T,0,54.55,Mbits/s,Mbits/s
12/4/14,4,11:27,4.81,11.41,Detroit; MI,Comcast,0,50.065,Mbits/s,Mbits/s
12/4/14,4,11:28,15.57,11.31,Detroit; MI,T-Mobile,0,37.765,Mbits/s,Mbits/s
12/4/14,4,11:28,10.43,10.9,Detroit; MI,T-Mobile,0,42.976,Mbits/s,Mbits/s
12/4/14,4,11:29,10.27,10.43,Detroit; MI,T-Mobile,0,28.978,Mbits/s,Mbits/s
12/4/14,4,11:29,6.06,10.9,Detroit; MI,AT&T,0,36.103,Mbits/s,Mbits/s
12/4/14,4,11:29,15.1,9.91,Detroit; MI,T-Mobile,0,29.649,Mbits/s,Mbits/s
12/4/14,4,11:29,10.94,3.48,Canton; OH,LightSpeed Technologies,0,50.979,Mbits/s,Mbits/s
12/4/14,4,11:30,20.77,10.81,Detroit; MI,T-Mobile,0,31.702,Mbits/s,Mbits/s
12/4/14,4,11:30,10.17,4.73,Detroit; MI,AT&T,0,42.817,Mbits/s,Mbits/s
12/4/14,4,11:31,17.68,3.88,Cleveland; OH,AT&T,0,37.986,Mbits/s,Mbits/s
12/4/14,4,11:31,21.48,6.29,Detroit; MI,T-Mobile,0,30.521,Mbits/s,Mbits/s
12/4/14,4,11:32,13.71,10.88,Detroit; MI,Comcast,0,35.383,Mbits/s,Mbits/s
12/4/14,4,11:32,17.28,14.22,Detroit; MI,T-Mobile,0,45.87,Mbits/s,Mbits/s
12/4/14,4,11:32,6.38,10.16,Toledo; OH,Amplex,0,76.136,Mbits/s,Mbits/s
12/4/14,4,11:32,18.36,7.44,Detroit; MI,T-Mobile,0,29.324,Mbits/s,Mbits/s
12/4/14,4,11:33,11.18,14.56,Detroit; MI,T-Mobile,0,29.318,Mbits/s,Mbits/s
12/4/14,4,11:33,12.05,10.02,Cleveland; OH,AT&T,0,35.777,Mbits/s,Mbits/s
12/4/14,4,11:33,11.86,13.41,Detroit; MI,AT&T,0,44.617,Mbits/s,Mbits/s
